Name,Club,Games,Tries,Try Assists,Points,Possessions,Runs,Run Metres,Pick & Drives,Linebreaks,LB Assists,Tackle Busts,Offloads,Passes,Lineout Wins Own,Lineout Wins Opp,Kicks,Kick Metres,Kick Errors
H. Stewart,RED,7,1,0,5,78,35,286,0,3,6,2,2,32,0,0,8,263,0
M. Telea,BLU,7,5,1,25,91,64,729,4,5,1,47,7,23,0,0,0,0,0
T. Tupou,RED,7,3,2,15,56,35,194,6,7,3,12,4,18,0,0,0,0,0
R. Van Heerden,SHA,7,0,0,0,54,37,163,2,0,0,7,1,21,16,0,0,0,0
K. van Vuuren,SHA,7,2,1,10,31,19,94,1,1,0,3,2,12,0,0,0,0,0
H. Wilson,RED,7,2,1,10,138,88,486,11,6,2,11,11,52,2,0,3,51,1
L. Wright,RED,7,3,0,15,61,36,153,5,1,2,7,5,26,4,0,0,0,0
N. Ah Kuoi,CHI,6,0,0,0,20,15,50,3,0,0,2,2,9,3,2,0,0,0
A. Ala'alatoa,BRU,6,0,2,0,54,31,121,1,1,2,3,1,20,0,0,0,0,0
L. Am,SHA,6,1,1,5,53,20,161,0,0,0,9,3,26,0,0,3,101,0
V. Aso,HUR,6,1,3,5,53,21,186,1,3,6,6,7,29,0,0,3,162,0
A. Aumua,HUR,6,1,1,5,35,26,204,1,2,1,9,2,8,0,0,0,0,0
T. Banks,BRU,6,4,3,22,88,52,489,0,7,3,13,3,25,0,0,3,95,0
K. Beale,WAR,6,1,2,5,145,37,393,0,4,6,7,4,76,0,0,25,996,0
A. Bell,WAR,6,1,0,5,44,29,171,1,3,1,5,2,12,0,0,0,0,0
A. Blyth,RED,6,0,0,0,25,12,67,0,1,0,0,0,18,7,1,0,0,0
E. Boffelli,JAG,6,3,2,15,75,37,379,1,8,1,13,4,27,0,0,5,240,0
C. Bosch,SHA,6,1,3,86,163,18,131,0,0,2,3,1,87,0,0,58,1834,1
G. Bower,CRU,6,0,1,0,26,18,69,0,0,1,2,0,8,0,0,0,0,0
J. Bregvadze,SUN,6,2,0,10,27,16,49,0,0,0,0,1,8,0,0,1,29,0
R. Bruni,JAG,6,2,0,10,61,42,227,1,2,1,5,2,17,0,0,1,30,0
J. Campher,LIO,6,0,0,0,20,11,102,0,3,0,1,2,6,0,0,0,0,0
T. Christie,CRU,6,2,0,10,53,28,149,2,1,1,2,1,20,1,0,0,0,0
A. Cottrell,REB,6,2,0,10,34,23,123,2,3,0,7,2,15,6,2,0,0,0
J. Dempsey,WAR,6,2,0,10,58,38,216,5,2,1,13,3,25,12,0,2,67,0
M. Douglas,BRU,6,0,1,0,38,27,74,2,0,1,0,2,27,24,0,0,0,0
T. du Toit,SHA,6,0,0,0,31,20,98,1,0,0,0,2,10,0,0,0,0,0
M. Dunshea,CRU,6,0,0,0,47,33,239,1,2,0,5,1,22,17,4,0,0,0
K. Eklund,BLU,6,0,0,0,30,22,106,1,0,0,5,1,8,0,0,0,0,0
G. Evans,HUR,6,1,1,5,67,33,206,0,1,3,3,3,43,11,2,1,2,0
T. Faulkner,WAR,6,1,0,5,15,11,40,0,1,0,3,0,1,0,0,0,0,0
S. Fifita,SUN,6,2,0,10,54,37,364,2,7,0,12,4,13,0,0,1,28,0
V. Fifita,HUR,6,0,1,0,42,32,175,2,2,2,5,7,26,9,3,1,26,0
D. Fitzpatrick,WAR,6,0,1,0,30,12,69,1,2,1,0,1,14,0,0,0,0,0
D. Flanders,HUR,6,0,0,0,9,6,51,0,1,0,3,0,5,3,0,0,0,0
L. Foketi,WAR,6,1,0,5,32,17,161,0,2,0,7,0,8,0,0,2,31,0
W. Gelant,BUL,6,3,1,15,137,38,296,0,2,8,11,8,65,0,0,29,1202,1
B. Gibson,BLU,6,1,0,5,24,11,60,1,1,0,5,0,12,7,1,1,19,0
